"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","uncinfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","dimensions","type","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
"0","6hrPlev_intense","3","Surface Snow Amount","kg m-2","","None","snw","surface_snow_amount","None","kg m-2","time: point","","","","","","longitude latitude time1","real","snw","landIce land","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Stratiform Cloud Optical Depth","1.0","Stratiform cloud optical depth","None","dtaus","atmosphere_optical_thickness_due_to_stratiform_cloud","None","1.0","time: point","","","","","","longitude latitude time1","real","dtaus","atmos","6hr","area: areacella","None","None","",""
"0","6hrPlev_intense","3","Convective Cloud Optical Depth","1.0","Convective cloud optical depth","None","dtauc","atmosphere_optical_thickness_due_to_convective_cloud","None","1.0","time: point","","","","","","longitude latitude time1","real","dtauc","atmos","6hr","area: areacella","None","None","",""
"1","aero","0","surface altitude","m","height above the geoid; as defined here, """"the geoid"""" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Report here the height above the present-day geoid.  Over ocean, report as 0.0","None","orog","surface_altitude","None","m","","","","","","","longitude latitude","real","orog","atmos","mon","","None","None","",""
"1","aero","0","Surface Air Pressure","Pa","not, in general, the same as mean sea-level pressure","None","ps","surface_air_pressure","None","Pa","time: mean","","","","","","longitude latitude time","real","ps","atmos","mon","","None","None","",""
"0","aero","1","ambient aerosol optical thickness at 550 nm","1.0","AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.","None","od550aer","atmosphere_optical_thickness_due_to_ambient_aerosol","None","1.0","time: mean","","","","","","longitude latitude time","real","od550aer","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","ambient fine aerosol optical thickness at 550 nm","1.0","od550 due to particles with wet diameter less than 1 um  (""""ambient"""" means """"wetted""""). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.","None","od550lt1aer","atmosphere_optical_thickness_due_to_pm1_ambient_aerosol","None","1.0","time: mean","","","","","","longitude latitude time","real","od550lt1aer","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Ambient Aerosol Absorption Optical Thickness at 550 nm","1.0","","None","abs550aer","atmosphere_absorption_optical_thickness_due_to_ambient_aerosol","None","1.0","time: mean","","","","","","longitude latitude time","real","abs550aer","aerosol","mon","area: areacella","None","None","",""
"0","aero","2","ambient aerosol optical thickness at 870 nm","1.0","AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.","None","od870aer","atmosphere_optical_thickness_870_due_to_ambient_aerosol","None","1.0","time: mean","","","","","","longitude latitude time","real","od870aer","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","rate of emission and production of dry aerosol total organic matter","kg m-2 s-1","tendency of atmosphere mass content of organic matter dry aerosol due to net production and emission.  This is the sum of total emission of POA and total production of SOA (see next two entries). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone.","None","emioa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emioa","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Emission Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1","tendency of atmosphere mass content of primary organic aerosol due to emission:  """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.","None","emipoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emipoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","production rate of dry aerosol secondary organic matter","kg m-2 s-1","tendency of atmosphere mass content of secondary organic matter_dry aerosol due to net production:  If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as POA emissions.  """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.","None","chepsoa","tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","chepsoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","emission rate of black carbon aerosol mass","kg m-2 s-1","","None","emibc","tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emibc","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","dry deposition rate of dry aerosol total organic matter","kg m-2 s-1","tendency of atmosphere mass content of organic dry aerosol due to dry deposition: This is the sum of dry deposition of POA and dry deposition of SOA (see next two entries). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone.","None","dryoa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","dryoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","Dry Deposition Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1","","None","drypoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","drypoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","Dry Deposition Rate of Dry Aerosol Secondary Organic Matter","kg m-2 s-1","","None","drysoa","tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","drysoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","dry deposition rate of black carbon aerosol mass","kg m-2 s-1","","None","drybc","tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","drybc","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","wet deposition rate of dry aerosol total organic matter","kg m-2 s-1","tendency of atmosphere mass content of organic matter dry aerosols due to wet deposition: This is the sum of wet deposition of POA and wet deposition of SOA (see next two entries). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone.","None","wetoa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","Wet Deposition Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1","","None","wetpoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetpoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","Wet Deposition Rate of Dry Aerosol Secondary Organic Matter","kg m-2 s-1","","None","wetsoa","tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetsoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","wet deposition rate of black carbon aerosol mass","kg m-2 s-1","","None","wetbc","tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetbc","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Total Emission of Primary Aerosol from Biomass Burning","kg m-2 s-1","tendency of atmosphere mass content of primary organic matter dry aerosol due to emission: This does not include sources of secondary aerosols from biomass burning aerosols, such as SO2 or SOA.","None","emibb","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emibb","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","total emission rate of so2","kg m-2 s-1","","None","emiso2","tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emiso2","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","total direct emission rate of so4","kg m-2 s-1","expressed as a tendency of atmosphere mass content of SO4.  Direct emission does not include secondary sulfate production.","None","emiso4","tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emiso4","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","total emission rate of dms","kg m-2 s-1","","None","emidms","tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emidms","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","dry deposition rate of so2","kg m-2 s-1","","None","dryso2","tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","dryso2","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","dry deposition rate of so4","kg m-2 s-1","","None","dryso4","tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","dryso4","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","dry deposition rate of dms","kg m-2 s-1","","None","drydms","tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","drydms","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","wet deposition rate of so4","kg m-2 s-1","","None","wetso4","tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetso4","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","wet deposition rate of so2","kg m-2 s-1","","None","wetso2","tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetso2","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","wet deposition rate of dms","kg m-2 s-1","","None","wetdms","tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetdms","aerosol","mon","area: areacella","None","None","",""
